time,GPTBot,ClaudeBot,Googlebot,Claude-SearchBot,timestamp,dashed
2026-02-25T12:00:00,0,0,0,0,2026-02-25T12:00:00,true
2026-02-25T13:00:00,0,0,0,0,2026-02-25T13:00:00,
2026-02-25T14:00:00,0,0,0,0,2026-02-25T14:00:00,
2026-02-25T15:00:00,0,0,0,0,2026-02-25T15:00:00,
2026-02-25T16:00:00,0,0,0,0,2026-02-25T16:00:00,
2026-02-25T17:00:00,0,0,0,0,2026-02-25T17:00:00,
2026-02-25T18:00:00,0,0,0,0,2026-02-25T18:00:00,
2026-02-25T19:00:00,0,0,0,0,2026-02-25T19:00:00,
2026-02-25T20:00:00,0,0,0,0,2026-02-25T20:00:00,
2026-02-25T21:00:00,0,0,0,0,2026-02-25T21:00:00,
2026-02-25T22:00:00,0,0,0,0,2026-02-25T22:00:00,
2026-02-25T23:00:00,0,0,0,0,2026-02-25T23:00:00,
2026-02-26T00:00:00,0,0,0,0,2026-02-26T00:00:00,
2026-02-26T01:00:00,0,0,2,0,2026-02-26T01:00:00,
2026-02-26T02:00:00,0,0,0,0,2026-02-26T02:00:00,
2026-02-26T03:00:00,0,0,0,0,2026-02-26T03:00:00,
2026-02-26T04:00:00,0,0,0,1,2026-02-26T04:00:00,
2026-02-26T05:00:00,5,0,0,0,2026-02-26T05:00:00,
2026-02-26T06:00:00,0,1,0,0,2026-02-26T06:00:00,
2026-02-26T07:00:00,0,1,0,0,2026-02-26T07:00:00,
2026-02-26T08:00:00,0,1,0,0,2026-02-26T08:00:00,
2026-02-26T09:00:00,0,1,0,0,2026-02-26T09:00:00,
2026-02-26T10:00:00,0,0,0,0,2026-02-26T10:00:00,
2026-02-26T11:00:00,0,0,0,0,2026-02-26T11:00:00,
2026-02-26T12:00:00,0,0,0,0,2026-02-26T12:00:00,true
